id,source_type,source_response_id,topic,question_original,question_normalized,answer_short,curriculum_units,coverage,unlock_course_candidate,unlock_course,requires_syllabus_change,review_status
qa-001,survey_free_text,55,資料庫／系統架構,如何用AI完成資料庫設計、系統架構,課程會教如何使用 AI 協助資料庫設計與系統架構嗎？,會。課程會以 AI CRM 為案例，先進行 Domain Modeling，再用 AI Agent 協助建立 JPA Entity、資料表關聯、Flyway migration，以及 Controller、Service、Repository 分層架構；同時會實際驗證 AI 產出的 Schema、關聯與程式是否合理。,Unit 1|Unit 2|Unit 3,core,TRUE,AI 輔助資料庫與系統架構實戰,FALSE,draft
qa-002,survey_free_text,49,資料庫／系統架構,資料庫,課程是否包含資料庫設計與實作？,有。Unit 3 會使用 Docker Compose 啟動 PostgreSQL 與 pgvector，並透過 Flyway、Spring Data JPA、Entity 關聯及 Specification 完成 CRM 資料庫與動態查詢服務。,Unit 3,core,FALSE,,FALSE,draft
qa-003,survey_free_text,48,RAG／知識庫,Rag or llm wiki for knowledge database,課程會教 RAG 或使用 LLM 建立企業知識庫嗎？,會。Unit 7 會將產品文件、互動紀錄與銷售話術切片，建立 Embedding 並存入 pgvector，再透過 Metadata、來源引用與檢索流程，讓 AI 根據企業知識庫回答，而不是只依賴模型記憶。,Unit 7,core,TRUE,進階 RAG 知識庫實戰,FALSE,draft
qa-004,survey_free_text,46,私有化部署,能使用本地端或是自建的服務 (私有化)，盡量以這個方向為主，例如 N8N or dify 可透過 docker 自架，能以私有化為主，而不是直接就建在現有的雲端上的服務，雖然比較快與方便，但有資訊只能比較合適私有化,課程能否以本地端或 Docker 私有化部署為主，而不是依賴既有雲端服務？,課程中的 PostgreSQL、pgvector、Spring Boot 與 React 都能在本機開發及驗證，不會強迫將企業資料放到特定雲端。n8n、Dify 與完整私有化部署目前不是主課程內容，適合規劃成後續進階實作。,Unit 1|Unit 3|Unit 8,partial,TRUE,企業 AI 私有化與 Docker 自架,TRUE,draft
qa-005,survey_free_text,45,進階 RAG,RAG的進階微調,課程會涵蓋 RAG 的進階調校嗎？,主課程會涵蓋文件切片、Metadata、Embedding、pgvector 檢索與來源引用。檢索評估、混合搜尋、Reranking、參數比較與查無資料時的外部搜尋策略，建議放入進階 RAG 解鎖課程；這與直接微調模型參數是不同方向。,Unit 7,partial,TRUE,進階 RAG 檢索、評估與防幻覺,TRUE,draft
qa-006,survey_free_text,40,B2B AI 客服／Google 整合,建構B2B電子零件供應商AI客服 ，老闆希望在Google環境下 公司目前皆使用Google作業系統 DX化,課程內容能否應用於 B2B 電子零件供應商的 AI 客服，並整合 Google Workspace？,可以延伸。課程的 B2B AI CRM 包含客戶資料、互動紀錄、AI 摘要、RAG 知識庫與 Tool Calling，適合改造成電子零件供應商的 AI 客服。Gmail、Calendar 等 Google Workspace 實際串接目前不是主線，可透過 MCP 或外部工具做為解鎖實作。,Unit 6|Unit 7|Unit 8,partial,TRUE,B2B AI 客服與 Google Workspace 串接,TRUE,draft
qa-007,survey_free_text,35,RAG／模型微調,RAG與模型微調,課程會同時教 RAG 與模型微調嗎？,RAG 是 Unit 7 的核心內容，會實作文件檢索、向量資料庫與來源引用。模型 Fine-tuning 需要另外準備資料集、訓練環境、成本與評估方法，目前不在主課程範圍，較適合獨立的進階課程。,Unit 7,partial,FALSE,,FALSE,draft
qa-008,survey_free_text,29,RAG／分散式系統,"RAG, Kafka, k8s,分散式運算/儲存",課程是否包含 RAG、Kafka、Kubernetes 與分散式運算或儲存？,RAG 與 pgvector 是 Unit 7 的核心內容。Kafka、Kubernetes 及分散式運算或儲存需要另一套部署與維運基礎，目前不納入這門 32 小時主課程，以避免壓縮 AI CRM 的完整實作。,Unit 7,partial,FALSE,,FALSE,draft
qa-009,survey_free_text,27,RAG／防幻覺／網頁搜尋,怎麼把雜亂無章的各種文件變成可給AI快速引用的知識且避免幻覺，如果內部文件找不到還能用網頁搜尋補足,如何把雜亂文件整理成 AI 可引用的知識庫、降低幻覺，並在內部資料不足時補充網頁搜尋？,Unit 7 會把文件切片、加上 Metadata、建立 Embedding 並存入 pgvector，提問時先檢索相關片段並要求 AI 引用來源；查無資料時要明確回覆資料不足。網頁搜尋補充可透過 MCP 或外部工具延伸，適合放入進階 RAG 解鎖課程。,Unit 7,partial,TRUE,進階 RAG 檢索、評估與防幻覺,TRUE,draft
qa-010,survey_free_text,23,學習路線,"覺得可提供或規劃建議的學習地圖或指引,如:基礎必學知識,AI必學知識...",課程是否會提供基礎必學、AI 必學與進階延伸的學習地圖？,會。課程依序安排環境與 AI 協作、Spring Boot／REST、PostgreSQL／JPA、Security、React、Spring AI／Tool Calling、RAG／MCP，以及結訓專案；後續會再將課前準備、主線必學與進階延伸整理成更清楚的學習地圖。,Unit 1|Unit 2|Unit 3|Unit 4|Unit 5|Unit 6|Unit 7|Unit 8,core,FALSE,,FALSE,draft
qa-011,course_planning,,Superpowers／AI Agent 開發流程,達標後會增加 Superpowers 技能課程嗎？,達標後會解鎖哪些 Superpowers AI Agent 開發技能？,規劃新增「Superpowers：規格驅動的 AI Agent 開發工作流」Bonus 課程，使用 AI CRM 小功能示範需求發想、規格、實作計畫、Git Worktree、TDD、執行、程式碼審查、完工驗證與分支收尾。主課程仍維持 8 個單元與 32 小時，解鎖門檻及正式課綱內容確認後再同步。,Bonus: Superpowers,unlock,TRUE,Superpowers：規格驅動的 AI Agent 開發工作流,TRUE,pending_syllabus_confirmation
